id,medicalname
385,kvcef 1000mg injection
386,kymentin 375 tablet
387,moniter 250mg tablet
388,medicip 500mg tablet
389,medilop tablet
390,mezol d 10mg/20mg capsule
391,medogesic mr 100mg/325mg/250mg tablet
392,merokwik 1000mg injection
393,mcef lb 200mg tablet
394,maxicob-plus injection
395,monte forte 5mg/10mg tablet
396,motofit lc syrup
397,moxynate 100mg capsule
398,miracef 200mg tablet
399,moxipal 500mg capsule
400,myogard 10mg tablet
401,metaclop p 5mg/500mg tablet
402,mefimid 100mg suspension
403,mef p syrup
404,macpan o oral suspension
405,megapride 25 tablet
406,mydox ax 400mg/30mg tablet
407,megamove th 100mg/4mg tablet
408,mexilab lb 200mg tablet
409,minagest sr 400 tablet
410,montra lc 5mg/10mg tablet
411,montokuf 15mg syrup
412,mobilini gel
413,mucoform ax syrup
414,mbkacin 500mg injection
415,methick p 1500mcg/75mg tablet sr
416,montospan fx 10mg/120mg tablet
417,mevotrex 7.5 tablet
418,myrifa 400mg tablet
419,metolix xl 50 tablet er
420,moxcid-lb 625 tablet
421,metocap tel 50 tablet
422,mycoral-m tablet
423,migray plus 40mg/10mg tablet
424,merothem 1000mg injection
425,mano m 500mg/0.3mg tablet sr
426,mupiclin ointment
427,mycocid lotion
428,mobigold capsule
429,macorate cr 600 tablet
430,medomol oral suspension
431,marflox tz 400 mg/600 mg tablet
432,metolar h 100 mg/12.5 mg tablet
433,mexpro-l capsule
434,monacef 500mg capsule
435,myrid capsule sr
436,merostar 1000mg injection
437,mykast l 5mg/10mg tablet
438,moxclik-cv lb tablet
439,m coxib 60mg/325mg tablet
440,methycod gold injection
441,mifer spas 10mg/250mg tablet
442,megaday-o oral suspension sugar free
443,minfos spray
444,maxpee d tablet mr
445,mexico 1000mg injection
446,metacin 170mg suppository
447,mycotil 500mg tablet
448,movon gel
449,metofid 12.5mg tablet
450,mirapex 0.375mg tablet er
451,monace th 100mg/4mg tablet
452,montenak lc 5mg/10mg tablet
453,mithox pg 750mcg/75mg capsule
454,mupirone ointment
455,magspas 10mg/250mg tablet
456,moriliv 300mg tablet
457,montelux fx tablet
458,myprazol l 75mg/40mg tablet
459,zin 500mg tablet
460,zydox 50mg oral suspension
461,zecet cold oral suspension
462,zepod 100mg tablet dt
463,maxipan 12 10mg/40mg tablet
464,myconorm 200mg tablet
465,moxymox cv 500mg/125mg tablet
466,minglip 50mg tablet
467,m-flo plus syrup
468,magnarab 20mg tablet
469,menorm 5mg tablet
470,mycogab capsule
471,m van-g 2 tablet pr
472,mypar liquid
473,metodox 10mg injection
474,magnesium sulphate 0.25%  injection
475,megapen 125 mg/125 mg injection
476,moxopress 0.2mg tablet
477,magnesium sulphate 0.25%  injection
478,maxflo 200mg tablet
479,montlu 10mg tablet
480,mefon p syrup
481,montiwak-lc 5mg/10mg tablet
482,melavib gel
483,met acs tablet
484,metodox 10mg injection
485,megapen 125 mg/125 mg injection
486,prednolone 5mg tablet
487,panzac d capsule
488,pregular 5mg tablet
489,pacific h  tablet 0.25 mg/10 mg
490,psychozap 5mg tablet
491,panaron d tablet
492,pzn 500mg tablet
493,paraldim 250mg/5ml suspension
494,pracidep s 20mg tablet
495,pyrexon 650mg tablet
496,pradoza 1000mg injection
497,procabazi 60mg/ml injection
498,methysoft forte 1500mcg/75mg tablet
499,micsef 500mg tablet
500,mak alka 1.4gm syrup
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
